EdFiEntity,EdFiEntityPath,EdFiElementName,EdFiElementType,EdFiRequired,EdFiElementDescription,EdFiEntityDescription,CEDSElementName,CEDSElementType,CEDSElementDefinition,CEDSGlobalId,CEDSMappingNotes,CEDSMappingConfidence,CEDSDWTable,CEDSDWColumn,CEDSDWElementType,CEDSStagingTable,CEDSStagingColumn,CEDSStagingElementType,CEDSOntologyClassURI,CEDSOntologyClassLabel,CEDSOntologyConceptSchemeURI,CEDSOntologyConceptSchemeLabel,CEDSOntologyPropertyURI,CEDSOntologyPropertyLabel,CEDSOntologyPropertyNotation,CEDSOntologyPropertyRangeIncludes
StaffAbsenceEvent,AbsenceEventCategory,AbsenceEventCategoryDescriptor,Descriptor,0,The code describing the type of absence.,,,,,,,,,,,,,,,,,,,,,
StaffSchoolAssociation,AcademicSubject,AcademicSubjectDescriptor,Descriptor,0,The academic subjects the individual is eligible to teach.,,,,,,,,,,,,,,,,,,,,,
ChartOfAccount,AccountType,AccountTypeDescriptor,Descriptor,0,"The type of account used in accounting such as revenue, expenditure, or balance sheet.",,,,,,,,,,,,,,,,,,,,,
Address,AddressType,AddressTypeDescriptor,Descriptor,0,"The type of address listed for an individual or organization. For example: Physical Address, Mailing Address, Home Address, etc.)",,,,,,,,,,,,,,,,,,,,,
FinancialAid (TPDM),AidType,AidTypeDescriptor,Descriptor,0,The classification of financial aid awarded to a person for the academic term/year.,,,,,,,,,,,,,,,,,,,,,
Assessment,AssessmentCategory,AssessmentCategoryDescriptor,Descriptor,0,The category of an assessment based on format and content.,,,,,,,,,,,,,,,,,,,,,
AssessmentItem,AssessmentItemCategory,AssessmentItemCategoryDescriptor,Descriptor,0,Category or type of the assessment item.,,,,,,,,,,,,,,,,,,,,,
AssessmentPeriod,AssessmentPeriod,AssessmentPeriodDescriptor,Descriptor,0,"The period of time in which an assessment is supposed to be administered (e.g., Beginning of Year, Middle of Year, End of Year).",,,,,,,,,,,,,,,,,,,,,
PerformanceLevel,AssessmentReportingMethod,AssessmentReportingMethodDescriptor,Descriptor,0,"The method that the instructor of the class uses to report the performance and achievement. It may be a qualitative method such as individualized teacher comments or a quantitative method such as a letter or numerical grade. In some cases, more than one type of reporting method may be used.",,,,,,,,,,,,,,,,,,,,,
StudentSectionAssociation,AttemptStatus,AttemptStatusDescriptor,Descriptor,0,An indication of the student's completion status for the section.,,,,,,,,,,,,,,,,,,,,,
