EdFiEntity,EdFiEntityPath,EdFiElementName,EdFiElementType,EdFiRequired,EdFiElementDescription,EdFiEntityDescription,CEDSElementName,CEDSElementType,CEDSElementDefinition,CEDSGlobalId,CEDSMappingNotes,CEDSMappingConfidence,CEDSDWTable,CEDSDWColumn,CEDSDWElementType,CEDSStagingTable,CEDSStagingColumn,CEDSStagingElementType,CEDSOntologyClassURI,CEDSOntologyClassLabel,CEDSOntologyConceptSchemeURI,CEDSOntologyConceptSchemeLabel,CEDSOntologyPropertyURI,CEDSOntologyPropertyLabel,CEDSOntologyPropertyNotation,CEDSOntologyPropertyRangeIncludes
CTEProgramService,CTEProgramService,CTEProgramServiceDescriptor,Descriptor,0,Indicates the service being provided to the student by the CTE program.,,,,,,,,,,,,,,,,,,,,,
Course,CareerPathway,CareerPathwayDescriptor,Descriptor,0,Indicates the career cluster or pathway the course is associated with as part of a CTE curriculum.,,,,,,,,,,,,,,,,,,,,,
Citizenship,CitizenshipStatus,CitizenshipStatusDescriptor,Descriptor,0,An indicator of whether or not the person is a U.S. citizen.,,,,,,,,,,,,,,,,,,,,,
IdentificationDocument,IssuerCountry,CountryDescriptor,Descriptor,0,Country of origin of the document. It is strongly recommended that entries use only ISO 3166 2-letter country codes.,,,,,,,,,,,,,,,,,,,,,
CourseIdentificationCode,CourseIdentificationSystem,CourseIdentificationSystemDescriptor,Descriptor,0,A system that is used to identify the organization of subject matter and related learning experiences provided for the instruction of students.,,,,,,,,,,,,,,,,,,,,,
CourseTranscript,CourseRepeatCode,CourseRepeatCodeDescriptor,Descriptor,0,Indicates that an academic course has been repeated by a student and how that repeat is to be computed in the student's academic grade average.,,,,,,,,,,,,,,,,,,,,,
Credential,CredentialType,CredentialTypeDescriptor,Descriptor,0,An indication of the category of credential an individual holds.,,,,,,,,,,,,,,,,,,,,,
CrisisEvent,CrisisType,CrisisTypeDescriptor,Descriptor,0,The type or category of crisis.,,,,,,,,,,,,,,,,,,,,,
Diploma,DiplomaLevel,DiplomaLevelDescriptor,Descriptor,0,The level of diploma/credential that is awarded to a student in recognition of completion of the curricular requirements.,,,,,,,,,,,,,,,,,,,,,
Disability,Disability,DisabilityDescriptor,Descriptor,0,A disability category that describes a individual's impairment.,,,,,,,,,,,,,,,,,,,,,
DisciplineAction,DisciplineActionLengthDifferenceReason,DisciplineActionLengthDifferenceReasonDescriptor,Descriptor,0,"Indicates the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.",,,,,,,,,,,,,,,,,,,,,
EducationOrganization,EducationOrganizationCategory,EducationOrganizationCategoryDescriptor,Descriptor,0,The classification of the education agency within the geographic boundaries of a state according to the level of administrative and operational control granted by the state.,,,,,,,,,,,,,,,,,,,,,
RestraintEvent,EducationalEnvironment,EducationalEnvironmentDescriptor,Descriptor,0,The setting where the RestraintEvent was exercised.,,,,,,,,,,,,,,,,,,,,,
StudentSpecialEducationProgramEligibilityAssociation,EligibilityDelayReason,EligibilityDelayReasonDescriptor,Descriptor,0,The reason why the eligibility determination was completed beyond the required timeframe.,,,,,,,,,,,,,,,,,,,,,
StudentSchoolAssociation,EntryGradeLevelReason,EntryGradeLevelReasonDescriptor,Descriptor,0,The primary reason as to why a staff member determined that a student should be promoted or not (or be demoted) at the end of a given school term.,,,,,,,,,,,,,,,,,,,,,
StudentAssessment,EventCircumstance,EventCircumstanceDescriptor,Descriptor,0,"An unusual event occurred during the administration of the assessment. This could include fire alarm, student became ill, etc.",,,,,,,,,,,,,,,,,,,,,
InterventionEffectiveness,GradeLevel,GradeLevelDescriptor,Descriptor,0,Grade level for which effectiveness is measured.,,,,,,,,,,,,,,,,,,,,,
Grade,GradeType,GradeTypeDescriptor,Descriptor,0,"The type of grade reported (e.g., exam, final, grading period).",,,,,,,,,,,,,,,,,,,,,
StudentHomelessProgramAssociation,HomelessPrimaryNighttimeResidence,HomelessPrimaryNighttimeResidenceDescriptor,Descriptor,0,The primary nighttime residence of the student at the time the student is identified as homeless.,,,,,,,,,,,,,,,,,,,,,
DisciplineIncident,IncidentLocation,IncidentLocationDescriptor,Descriptor,0,Identifies where the discipline incident occurred and whether or not it occurred on school.,,,,,,,,,,,,,,,,,,,,,
EducationOrganizationIndicator,Indicator,IndicatorDescriptor,Descriptor,0,The name or code for the indicator or metric.,,,,,,,,,,,,,,,,,,,,,
StudentEducationOrganizationAssociation,InternetAccessTypeInResidence,InternetAccessTypeInResidenceDescriptor,Descriptor,0,The primary type of internet service used in the student?s primary place of residence.,,,,,,,,,,,,,,,,,,,,,
Language,Language,LanguageDescriptor,Descriptor,0,A specification of which written or spoken communication is being used.,,,,,,,,,,,,,,,,,,,,,
LanguageInstructionProgramService,LanguageInstructionProgramService,LanguageInstructionProgramServiceDescriptor,Descriptor,0,Indicates the service being provided to the student by the language instruction program.,,,,,,,,,,,,,,,,,,,,,
Contact,HighestCompletedLevelOfEducation,LevelOfEducationDescriptor,Descriptor,0,"The extent of formal instruction an individual has received (e.g., the highest grade in school completed or its equivalent or the highest degree received).",,,,,,,,,,,,,,,,,,,,,
Address,Locale,LocaleDescriptor,Descriptor,0,"A general geographic indicator that categorizes U.S. territory (e.g., City, Suburban).",,,,,,,,,,,,,,,,,,,,,
StudentNeglectedOrDelinquentProgramAssociation,NeglectedOrDelinquentProgram,NeglectedOrDelinquentProgramDescriptor,Descriptor,0,"The type of program under ESEA Title I, Part D, Subpart 1 (state programs) or Subpart 2 (LEA).",,,,,,,,,,,,,,,,,,,,,
IdentificationDocument,PersonalInformationVerification,PersonalInformationVerificationDescriptor,Descriptor,0,The category of the document relative to its purpose.,,,,,,,,,,,,,,,,,,,,,
StudentEducationOrganizationAssociation,PrimaryLearningDeviceAwayFromSchool,PrimaryLearningDeviceAwayFromSchoolDescriptor,Descriptor,0,The type of device the student uses most often to complete learning activities away from school.,,,,,,,,,,,,,,,,,,,,,
Program,ProgramType,ProgramTypeDescriptor,Descriptor,0,The type of program.,,,,,,,,,,,,,,,,,,,,,
CommunityProvider,ProviderCategory,ProviderCategoryDescriptor,Descriptor,0,Indicates the category of the provider.,,,,,,,,,,,,,,,,,,,,,
StudentEducationOrganizationAssociation,Race,RaceDescriptor,Descriptor,0,The general racial category which most clearly reflects the individual's recognition of his or her community or with which the individual most identifies as last reported to the education organization. The data model allows for multiple entries so that each individual can specify all appropriate races.,,,,,,,,,,,,,,,,,,,,,
StudentAssessment,ReasonNotTested,ReasonNotTestedDescriptor,Descriptor,0,The primary reason student is not tested.,,,,,,,,,,,,,,,,,,,,,
StudentContactAssociation,Relation,RelationDescriptor,Descriptor,0,"The nature of an individual's relationship to a student, primarily used to capture family relationships.",,,,,,,,,,,,,,,,,,,,,
StudentEducationOrganizationResponsibilityAssociation,Responsibility,ResponsibilityDescriptor,Descriptor,0,"Indications of an education organization's responsibility for a student, such as accountability, attendance, funding, etc.",,,,,,,,,,,,,,,,,,,,,
School,SchoolCategory,SchoolCategoryDescriptor,Descriptor,0,The one or more categories of school.,,,,,,,,,,,,,,,,,,,,,
EmploymentPeriod,SeparationReason,SeparationReasonDescriptor,Descriptor,0,Reason for terminating the employment.,,,,,,,,,,,,,,,,,,,,,
Person,SourceSystem,SourceSystemDescriptor,Descriptor,0,This descriptor defines the originating record source system for the person.,,,,,,,,,,,,,,,,,,,,,
StudentSpecialEducationProgramAssociation,SpecialEducationSetting,SpecialEducationSettingDescriptor,Descriptor,0,The major instructional setting (more than 50 percent of a student's special education program).,,,,,,,,,,,,,,,,,,,,,
StaffEducationOrganizationAssignmentAssociation,StaffClassification,StaffClassificationDescriptor,Descriptor,0,"The titles of employment, official status, or rank of education staff.",,,,,,,,,,,,,,,,,,,,,
StaffLeave,StaffLeaveEventCategory,StaffLeaveEventCategoryDescriptor,Descriptor,0,The code describing the type of leave taken.,,,,,,,,,,,,,,,,,,,,,
Address,StateAbbreviation,StateAbbreviationDescriptor,Descriptor,0,The abbreviation for the state (within the United States) or outlying area in which an address is located.,,,,,,,,,,,,,,,,,,,,,
StudentEducationOrganizationAssociation,SupporterMilitaryConnection,SupporterMilitaryConnectionDescriptor,Descriptor,0,Military connection of the person/people whom the student is a dependent of.,,,,,,,,,,,,,,,,,,,,,
Telephone,TelephoneNumberType,TelephoneNumberTypeDescriptor,Descriptor,0,The type of communication number listed for an individual or organization.,,,,,,,,,,,,,,,,,,,,,
School,TitleIPartASchoolDesignation,TitleIPartASchoolDesignationDescriptor,Descriptor,0,Denotes the Title I Part A designation for the school.,,,,,,,,,,,,,,,,,,,,,
StudentEducationOrganizationAssociation,TribalAffiliation,TribalAffiliationDescriptor,Descriptor,0,An American Indian tribe with which the student is affiliated as last reported to the education organization.,,,,,,,,,,,,,,,,,,,,,
StudentDisciplineIncidentBehaviorAssociation,Weapon,WeaponDescriptor,Descriptor,0,Identifies the type(s) of weapon used by the student during a discipline incident. The Federal Gun-Free Schools Act requires states to report the number of students expelled for bringing firearms to school by type of firearm.,,,,,,,,,,,,,,,,,,,,,
