EdFiEntity,EdFiEntityPath,EdFiElementName,EdFiElementType,EdFiRequired,EdFiElementDescription,EdFiEntityDescription,CEDSElementName,CEDSElementType,CEDSElementDefinition,CEDSGlobalId,CEDSMappingNotes,CEDSMappingConfidence,CEDSDWTable,CEDSDWColumn,CEDSDWElementType,CEDSStagingTable,CEDSStagingColumn,CEDSStagingElementType,CEDSOntologyClassURI,CEDSOntologyClassLabel,CEDSOntologyConceptSchemeURI,CEDSOntologyConceptSchemeLabel,CEDSOntologyPropertyURI,CEDSOntologyPropertyLabel,CEDSOntologyPropertyNotation,CEDSOntologyPropertyRangeIncludes
Credential,CredentialField,CredentialFieldDescriptor,Descriptor,0,"The field of certification for the certificate (e.g., Mathematics, Music).",,Credential Definition Description,Alphanumeric - 300 characters maximum,"A description of the qualification, achievement, personal or organizational quality, or aspect of an identity.",000895,This might be a location to place this. It appears to just be a list of academic subjects or industries. Might be better in the Standard Occupational Classification. ,Maybe,DimCredentials,CredentialDefinitionDescription,nvarchar(max),,,,http://ceds.ed.gov/terms#C200087,Credential Definition,,,http://ceds.ed.gov/terms#P000895,Credential Definition Description,CredentialDefinitionDescription,http://www.w3.org/2001/XMLSchema#string
CurriculumUsed,CurriculumUsed,CurriculumUsedDescriptor,Descriptor,0,The type of curriculum used in an early learning classroom or group.,,Curriculum Framework Type,Has Option Set,An indication of the standard curriculum used for this course.,000712,Not closely aligned - might need a new element in CEDS,Maybe,,,,,,,http://ceds.ed.gov/terms#C200090,K12 Course,http://ceds.ed.gov/terms#C000712,Curriculum Framework Type,http://ceds.ed.gov/terms#P000712,Has Curriculum Framework Type,hasCurriculumFrameworkType,http://ceds.ed.gov/terms#C000712
Disability,Disability,DisabilityDescriptor,Descriptor,0,A disability category that describes a individual's impairment.,,Primary Disability Type,Has Option Set,The major or overriding disability condition that best describes a person's impairment.,000218,Default though to either IDEA Disability Type or Disability Condition Type,Maybe,DimIdeaDisabilityTypes,IdeaDisabilityTypeCode,nvarchar(100),,,,http://ceds.ed.gov/terms#C200285,Person Disability,http://ceds.ed.gov/terms#C000218,Primary Disability Type,http://ceds.ed.gov/terms#P000218,Has Primary Disability Type,hasPrimaryDisabilityType,http://ceds.ed.gov/terms#C000218
DisciplineAction,Discipline,DisciplineDescriptor,Descriptor,0,"Type of action, such as removal from the classroom, used to discipline the student involved as a perpetrator in a discipline incident.",,Discipline Method of Children with Disabilities,Has Option Set,The type of suspension or expulsion used for the discipline of children with disabilities.,000538,May also be the location in Ed-Fi,Maybe,DimDisciplineStatuses,DisciplineMethodOfChildrenWithDisabilitiesCode,nvarchar(50),,,,http://ceds.ed.gov/terms#C200215,K12 Student Discipline,http://ceds.ed.gov/terms#C000538,Discipline Method of Children with Disabilities,http://ceds.ed.gov/terms#P000538,Has Discipline Method of Children with Disabilities,hasDisciplineMethodOfChildrenWithDisabilities,http://ceds.ed.gov/terms#C000538
StudentAssessmentEducationOrganizationAssociation,EducationOrganizationAssociationType,EducationOrganizationAssociationTypeDescriptor,Descriptor,0,The type of association being represented.,,Student School Affiliation State Defined Status,Has Option Set,"An indication of the nature of a student's affiliation, as defined by the state, with a public school and used generally, but not exclusively, for the purpose of determining residency, funding, or accountability.",001963,This is state defined. What may make more sense is the Responsible Organization Type element assoicated with the assessment registration.,Maybe,,,,,,,http://ceds.ed.gov/terms#C200197,K12 Organization Student Responsibility,http://ceds.ed.gov/terms#C001963,Student School Affiliation State Defined Status,http://ceds.ed.gov/terms#P001963,Has Student School Affiliation State Defined Status,hasStudentSchoolAffiliationStateDefinedStatus,http://ceds.ed.gov/terms#C001963
StudentSchoolAssociation,EducationPlan,EducationPlanDescriptor,Descriptor,0,"The type of education plan(s) the student is following, if appropriate.",,Program Type,Has Option Set,The system outlining instructional or non-instructional activities and procedures designed to accomplish a predetermined educational objective or set of objectives or to provide support services to a person and/or the community.,000225,Multiple Programs can be created for anything,Maybe,DimFosterCareStatuses,ProgramParticipationFosterCareCode,nvarchar(50),,,,http://ceds.ed.gov/terms#C200263,Organization Program Type,http://ceds.ed.gov/terms#C000225,Program Type,http://ceds.ed.gov/terms#P000225,Has Program Type,hasProgramType,http://ceds.ed.gov/terms#C000225
StudentSchoolAssociation,EducationPlan,EducationPlanDescriptor,Descriptor,0,"The type of education plan(s) the student is following, if appropriate.",,Individualized Program Type,Has Option Set,A designation of the type of program developed for a student.,000320,Some of the options are defined in here,Maybe,DimIndividualizedProgramStatuses,IndividualizedProgramTypeCode,nvarchar(100),,,,http://ceds.ed.gov/terms#C200157,Individualized Program,http://ceds.ed.gov/terms#C000320,Individualized Program Type,http://ceds.ed.gov/terms#P000320,Has Individualized Program Type,hasIndividualizedProgramType,http://ceds.ed.gov/terms#C000320
StudentSchoolAssociation,EducationPlan,EducationPlanDescriptor,Descriptor,0,"The type of education plan(s) the student is following, if appropriate.",,Career Education Plan Type,Has Option Set,An indication of whether an individual completed an individualized guidance and counseling plan,001290,"could be used to help further define, but not a direct link",Maybe,,,,,,,http://ceds.ed.gov/terms#C200279,Person Career Education Plan,http://ceds.ed.gov/terms#C001290,Career Education Plan Type,http://ceds.ed.gov/terms#P001290,Has Career Education Plan Type,hasCareerEducationPlanType,http://ceds.ed.gov/terms#C001290
RestraintEvent,EducationalEnvironment,EducationalEnvironmentDescriptor,Descriptor,0,The setting where the RestraintEvent was exercised.,,IDEA Educational Environment for School Age,Has Option Set,"The setting in which children ages 6 through 21, receive special education and related services.",000535,But more likely Receiving Location of Instruction,Maybe,DimIdeaStatuses,IdeaEducationalEnvironmentForSchoolAgeCode,nvarchar(50),,,,http://ceds.ed.gov/terms#C200322,Program Participation Special Education,http://ceds.ed.gov/terms#C000535,IDEA Educational Environment for School Age,http://ceds.ed.gov/terms#P000535,Has IDEA Educational Environment for School Age,hasIDEAEducationalEnvironmentForSchoolAge,http://ceds.ed.gov/terms#C000535
Section,EducationalEnvironment,EducationalEnvironmentDescriptor,Descriptor,0,The setting in which a student receives education and related services.,,IDEA Educational Environment for Early Childhood,Has Option Set,The program in which children ages 3 through 5 attend and in which these children receive special education and related services.,000559,But more likely Receiving Location of Instruction,Maybe,DimIdeaStatuses,IdeaEducationalEnvironmentForEarlyChildhoodCode,nvarchar(50),,,,http://ceds.ed.gov/terms#C200106,Program Participation Special Education,http://ceds.ed.gov/terms#C000559,IDEA Educational Environment for Early Childhood,http://ceds.ed.gov/terms#P000559,Has IDEA Educational Environment for Early Childhood,hasIDEAEducationalEnvironmentForEarlyChildhood,http://ceds.ed.gov/terms#C000559
AttendanceEvent,EducationalEnvironment,EducationalEnvironmentDescriptor,Descriptor,0,The setting in which a child receives education and related services. This attribute is only used if it differs from the EducationalEnvironment of the Section. This is only used in the AttendanceEvent if different from the associated Section.,,Receiving Location of Instruction,Has Option Set,The type of location at which instruction or service takes place.,000524,,Maybe,,,,,,,http://ceds.ed.gov/terms#C200077,Course Section Location,http://ceds.ed.gov/terms#C000524,Receiving Location of Instruction,http://ceds.ed.gov/terms#P000524,Has Receiving Location of Instruction,hasReceivingLocationOfInstruction,http://ceds.ed.gov/terms#C000524
