EdFiVersionNumber,EdFiNamespace,EdFiCodeValue,EdFiShortDescription,EdFiDescription,EdFiElementName,EdFiEntity,EdFiPath,EdFiDescription,CEDSElementName,CEDSGlobalId,CEDSOptionCode,CEDSOptionDescription,CEDSOptionDefinition,CEDSDataType,OptionSetMatchConfidence,ElementMatchConfidence,Notes
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Honor award,Honor award,Honor award,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,02047,Honor award,Honor award is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Honor roll,Honor roll,Honor roll,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,01985,Honor roll,Honor roll is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Honor society,Honor society,Honor society,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,01986,Honor society,Honor society is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Honorable mention,Honorable mention,Honorable mention,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,01987,Honorable mention,Honorable mention is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Honors program,Honors program,Honors program,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,01988,Honors program,Honors program is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Letter of student commendation,Letter of student commendation,Letter of student commendation,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,00744,Letter of student commendation,Letter of student commendation is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Medals,Medals,Medals,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,00745,Medals,Medals is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,National Merit Scholar,National Merit Scholar,National Merit Scholar,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,08693,National Merit scholar,National Merit scholar is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Other,Other,Other,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,09999,Other,Other is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Points,Points,Points,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,00747,Points,Points is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Prize awards,Prize awards,Prize awards,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,01989,Prize awards,Prize awards is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Promotion or advancement,Promotion or advancement,Promotion or advancement,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,00748,Promotion or advancement,Promotion or advancement is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Scholarships,Scholarships,Scholarships,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,01991,Scholarships,Scholarships is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Career and Technical Education,Career and Technical Education,Career and Technical Education,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",Assessment Academic Subject,000021,73065,Career and Technical Education,Career and Technical Education is specified as the academic content or subject area being evaluated.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Composite,Composite,Composite,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,Option Set,,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Critical Reading,Critical Reading,Critical Reading,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,Option Set,,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Cross Subject,Cross Subject,Cross Subject,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,Option Set,,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,English,English,English,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",Assessment Academic Subject,000021,13372,English,English is specified as the academic content or subject area being evaluated.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,English Language Arts,English Language Arts,English Language Arts,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,Option Set,,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Fine and Performing Arts,Fine and Performing Arts,Fine and Performing Arts,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,Option Set,,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Foreign Language and Literature,Foreign Language and Literature,Foreign Language and Literature,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,Option Set,,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Life and Physical Sciences,Life and Physical Sciences,Life and Physical Sciences,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,Option Set,,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Mathematics,Mathematics,Mathematics,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",Assessment Academic Subject,000021,01166,Mathematics,Mathematics is specified as the academic content or subject area being evaluated.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Military Science,Military Science,Military Science,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,Option Set,,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Other,Other,Other,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",Assessment Academic Subject,000021,09999,Other,Other is specified as the academic content or subject area being evaluated.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,"Physical, Health, and Safety Education","Physical, Health, and Safety Education","Physical, Health, and Safety Education",AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,Option Set,,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Reading,Reading,Reading,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",Assessment Academic Subject,000021,00560,Reading,Reading is specified as the academic content or subject area being evaluated.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Religious Education and Theology,Religious Education and Theology,Religious Education and Theology,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,Option Set,,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Science,Science,Science,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",Assessment Academic Subject,000021,00562,Science,Science is specified as the academic content or subject area being evaluated.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Social Sciences and History,Social Sciences and History,Social Sciences and History,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,Option Set,,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Social Studies,Social Studies,Social Studies,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,Option Set,,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Writing,Writing,Writing,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",Assessment Academic Subject,000021,01287,Writing,Writing is specified as the academic content or subject area being evaluated.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Career and Technical Education,Career and Technical Education,Career and Technical Education,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Composite,Composite,Composite,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Critical Reading,Critical Reading,Critical Reading,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Cross Subject,Cross Subject,Cross Subject,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,English,English,English,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,English Language Arts,English Language Arts,English Language Arts,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Fine and Performing Arts,Fine and Performing Arts,Fine and Performing Arts,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Foreign Language and Literature,Foreign Language and Literature,Foreign Language and Literature,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Life and Physical Sciences,Life and Physical Sciences,Life and Physical Sciences,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Mathematics,Mathematics,Mathematics,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Military Science,Military Science,Military Science,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Other,Other,Other,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,"Physical, Health, and Safety Education","Physical, Health, and Safety Education","Physical, Health, and Safety Education",AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Reading,Reading,Reading,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Religious Education and Theology,Religious Education and Theology,Religious Education and Theology,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Science,Science,Science,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Social Sciences and History,Social Sciences and History,Social Sciences and History,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Social Studies,Social Studies,Social Studies,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Writing,Writing,Writing,AcademicSubjectDescriptor,Cohort,AcademicSubject,The academic subject associated with an academic intervention.,,,,,,,,Not in CEDS,Not in CEDS for this context
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Career and Technical Education,Career and Technical Education,Career and Technical Education,AcademicSubjectDescriptor,Course,AcademicSubject,The intended major subject/s area of the course.,,,,,,Option Set,,Maybe,"For a course, CEDS would use SCED."
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Composite,Composite,Composite,AcademicSubjectDescriptor,Course,AcademicSubject,The intended major subject/s area of the course.,,,,,,Option Set,,Maybe,"For a course, CEDS would use SCED."
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Critical Reading,Critical Reading,Critical Reading,AcademicSubjectDescriptor,Course,AcademicSubject,The intended major subject/s area of the course.,,,,,,Option Set,,Maybe,"For a course, CEDS would use SCED."
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Cross Subject,Cross Subject,Cross Subject,AcademicSubjectDescriptor,Course,AcademicSubject,The intended major subject/s area of the course.,,,,,,Option Set,,Maybe,"For a course, CEDS would use SCED."
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,English,English,English,AcademicSubjectDescriptor,Course,AcademicSubject,The intended major subject/s area of the course.,,,,,,Option Set,,Maybe,"For a course, CEDS would use SCED."
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,English Language Arts,English Language Arts,English Language Arts,AcademicSubjectDescriptor,Course,AcademicSubject,The intended major subject/s area of the course.,,,,,,Option Set,,Maybe,"For a course, CEDS would use SCED."
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Fine and Performing Arts,Fine and Performing Arts,Fine and Performing Arts,AcademicSubjectDescriptor,Course,AcademicSubject,The intended major subject/s area of the course.,,,,,,Option Set,,Maybe,"For a course, CEDS would use SCED."
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Foreign Language and Literature,Foreign Language and Literature,Foreign Language and Literature,AcademicSubjectDescriptor,Course,AcademicSubject,The intended major subject/s area of the course.,,,,,,Option Set,,Maybe,"For a course, CEDS would use SCED."
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Life and Physical Sciences,Life and Physical Sciences,Life and Physical Sciences,AcademicSubjectDescriptor,Course,AcademicSubject,The intended major subject/s area of the course.,School Courses for the Exchange of Data Course Subject Area,001518,03,Life and Physical Sciences,Life and Physical Sciences is the intended major subject area of the education course.,Option Set,Yes,Maybe,"For a course, CEDS would use SCED."
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Mathematics,Mathematics,Mathematics,AcademicSubjectDescriptor,Course,AcademicSubject,The intended major subject/s area of the course.,School Courses for the Exchange of Data Course Subject Area,001518,02,Mathematics,Mathematics is the intended major subject area of the education course.,Option Set,Yes,Maybe,"For a course, CEDS would use SCED."
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Military Science,Military Science,Military Science,AcademicSubjectDescriptor,Course,AcademicSubject,The intended major subject/s area of the course.,School Courses for the Exchange of Data Course Subject Area,001518,09,Military Science,Military Science is the intended major subject area of the education course.,Option Set,Yes,Maybe,"For a course, CEDS would use SCED."
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Other,Other,Other,AcademicSubjectDescriptor,Course,AcademicSubject,The intended major subject/s area of the course.,,,,,,Option Set,,Maybe,"For a course, CEDS would use SCED."
